chemicalFormula Clean,index,Band gap values Clean,Reliability,testdata
Cr2O3,317.0,1.68,1.0,0
Cr2S3,323.0,0.9,1.0,0
Cr2Se3,325.0,0.025,1.0,0
Cr3Se4,324.0,0.015,1.0,0
CrTe,329.0,0.02,1.0,0
Cs1Bi2,1059.0,0.55,1.0,0
Cs1Br1,1046.0,7.18,1.0,0
Cs1Cl1,1042.0,8.1,1.0,0
Cs1F1,1040.0,10.0,1.0,0
Cs1I1,1055.0,6.37,1.0,0
Cs2Te1,1054.0,3.5,1.0,0
Cs3As1,1045.0,0.6,1.0,0
Cs3Bi1,1060.0,0.55,1.0,0
Cs3Sb1,1049.0,1.6,1.0,0
Cu1Br1,415.0,2.987,1.0,0
Cu1Cl1,410.0,3.306,1.0,1
Cu1I1,422.0,3.07,1.0,0
Cu1N3,391.0,4.17,1.0,0
Cu1P2,400.0,1.4,1.0,0
Cu2O1,393.0,2.023,1.0,0
Cu2S1,402.0,1.21,1.0,0
Cu2Se1,411.0,1.23,1.0,0
Cu2Te1,417.0,1.08,1.0,0
Dy1As1,1181.0,1.0,1.0,0
Dy1B6,1174.0,3.3,1.0,1
Dy1N1,1175.0,2.6,1.0,1
Dy2O3,1177.0,3.08,1.0,0
Dy2S3,1179.0,2.91,1.0,0
Er1B6,1185.0,3.5,1.0,0
Er1N1,1186.0,2.4,1.0,0
Er1Se2,1190.0,1.07,1.0,0
Er1Te1,1193.0,0.9,1.0,0
Er2O3,1188.0,3.26,1.0,0
Er2Se3,1191.0,1.66,1.0,0
Er2Te3,1194.0,0.9,1.0,0
Er3Te4,1192.0,0.9,1.0,0
Eu1N1,1137.0,1.25,1.0,0
Eu1O1,1139.0,1.122,1.0,0
Eu1S1,1147.0,1.645,1.0,0
Eu1Se1,1154.0,1.78,1.0,0
Eu1Te1,1160.0,1.959,1.0,0
Eu2O3,1141.0,1.7,1.0,0
Eu3As2,1153.0,0.6,1.0,0
Eu3O4,1140.0,0.6,1.0,1
Eu3P2,1146.0,1.2,1.0,0
Eu3S4,1148.0,0.163,1.0,1
Fe1As2,362.0,0.2,1.0,0
Fe1I2,371.0,5.15,1.0,0
Fe1P2,360.0,0.4,1.0,0
Fe1S2,361.0,1.2,1.0,0
Fe1Sb2,366.0,0.17,1.0,1
Fe1Sc2,364.0,0.77,1.0,1
Fe1Si1,357.0,0.1,1.0,0
Fe1Si2,356.0,0.9,1.0,0
Fe1Te2,369.0,0.46,1.0,0
Fe2O3,353.0,2.34,1.0,0
Fe2Te3,368.0,0.6,1.0,0
Ga1As1,511.0,1.42,1.0,0
Ga1Bi1,566.0,0.1,1.0,0
Ga1N1,486.0,3.24,1.0,0
Ga1P1,492.5,2.5,1.0,0
Ga1S1,499.0,2.5,1.0,0
Ga1Sb1,546.0,0.725,1.0,0
Ga1Se1,528.5,2.05,1.0,0
Ga1Te1,552.0,1.42,1.0,0
Ga2O3,490.0,4.54,1.0,0
Ga2S3,500.0,3.59,1.0,0
Ga2Se3,530.0,2.05,1.0,1
Ga2Te3,553.5,1.225,1.0,0
Gd1As1,1167.0,0.63,1.0,0
Gd1B6,1163.0,3.6,1.0,0
Gd1N1,1164.0,1.54,1.0,0
Gd1Te1,1168.0,1.3,1.0,1
Gd2O3,1165.0,1.36,1.0,0
Ge,585.5,0.335,1.0,0
Ge1As1,596.5,1.05,1.0,0
Ge1As2,596.5,1.225,1.0,0
Ge1I2,613.0,1.5,1.0,0
Ge1O2,567.0,5.56,1.0,0
Ge1S1,578.0,1.58,1.0,0
Ge1S2,579.0,3.54,1.0,0
Ge1Se1,599.5,1.315,1.0,0
Ge1Se2,601.5,2.4325,1.0,0
Ge1Sn1,606.0,0.8,1.0,0
Ge1Te1,607.0,0.84,1.0,0
Ge1Te2,608.0,0.3,1.0,0
Hf1O2,1203.0,5.55,1.0,0
Hf1S2,1205.0,2.4299999999999997,1.0,0
Hf1S3,1205.0,2.8,1.0,0
Hf1Se2,1208.5,1.665,1.0,0
Hg1Br2,1270.0,3.59,1.0,0
Hg1I2,1277.0,2.13,1.0,0
Hg1O1,1250.0,2.48,1.0,0
Hg1S1,1254.5,1.2690000000000001,1.0,0
Hg1Se1,1265.0,0.24,1.0,0
Hg1Te1,1271.0,0.175,1.0,0
Hg2Br2,1269.0,2.6,1.0,1
Hg2Cl2,1261.0,3.5,1.0,0
Ho1N1,1182.0,1.79,1.0,0
Ho2O3,1184.0,2.84,1.0,0
I,1036.0,1.3,1.0,0
In1As1,916.0,0.356,1.0,0
In1N1,901.0,2.4,1.0,0
In1P1,906.0,1.351,1.0,0
In1S1,913.0,1.86,1.0,0
In1Sb1,934.0,0.17,1.0,0
In1Se1,923.5,1.24,1.0,0
In2O3,902.5,3.1845,1.0,0
In2S3,911.5,1.565,1.0,0
In2Se1,925.5,0.739,1.0,0
In2Se3,927.0,1.2,1.0,0
In2Te3,940.5,0.98,1.0,0
In4S5,914.0,0.9,1.0,0
Ir1S2,1234.0,0.9,1.0,0
Ir1Se2,1235.0,1.0,1.0,1
K1Br1,237.0,7.6,1.0,0
K1Cl1,231.0,8.5,1.0,0
K1F1,227.5,10.600000000000001,1.0,0
K1I1,252.0,6.17,1.0,1
K2S1,230.0,2.1,1.0,0
K2Se1,236.0,1.8,1.0,1
K2Te1,251.0,1.9,1.0,0
K3Sb1,246.0,1.4000000000000001,1.0,0
La1B6,1072.0,0.08,1.0,0
La1F3,1077.0,6.6,1.0,0
La1Sb1,1082.0,0.8,1.0,0
La2O3,1075.0,1.05,1.0,0
La2S3,1078.0,1.32,1.0,1
La2Se3,1080.0,1.97,1.0,0
La2Te3,1083.0,0.1,1.0,0
La3Te4,1084.0,0.43,1.0,0
Li1Br1,7.0,7.95,1.0,0
Li1Cl1,6.0,9.33,1.0,0
Li1F1,0.5,13.105,1.0,1
Li1I1,10.0,6.0,1.0,0
Li3Bi1,15.0,0.7,1.0,0
Li3Sb1,9.0,1.0,1.0,0
Lu2O3,1202.0,3.94,1.0,0
Mg1F2,92.0,11.8,1.0,0
Mg1O1,89.0,7.77,1.0,0
Mg1Se1,125.0,5.6,1.0,0
Mg1Te1,139.0,4.7,1.0,0
Mg2Ge1,107.5,1.0859999999999999,1.0,0
Mg2Pb1,141.0,0.0409999999999999,1.0,0
Mg2Si1,97.5,1.435,1.0,0
Mg2Sn1,128.5,0.1575,1.0,0
Mg3As2,123.0,2.55,1.0,0
Mg3Bi2,144.0,0.1,1.0,0
Mg3P2,105.0,1.4,1.0,0
Mg3Sb2,137.0,0.82,1.0,0
Mn1Al3,340.0,0.58,1.0,0
Mn1F2,337.5,10.05,1.0,0
Mn1I2,351.0,4.04,1.0,0
Mn1O1,331.0,3.7,1.0,0
Mn1O2,330.0,0.26,1.0,1
Mn1S1,343.0,6.2,1.0,0
Mn1Se1,346.0,1.8,1.0,0
Mn1Se2,345.0,0.2,1.0,0
Mn1Te1,347.0,1.25,1.0,0
Mn1Te2,348.0,0.48,1.0,0
MnSi,341.0,0.6,1.0,0
Mo1O3,749.5,3.3083333333333336,1.0,0
Mo1S2,754.5,1.0699999999999998,1.0,0
Mo1Te2,760.0,0.83,1.0,0
Na1Br1,72.0,7.5,1.0,0
Na1Cl1,65.0,8.97,1.0,0
Na1F1,63.0,10.5,1.0,0
Na1I1,84.0,5.89,1.0,0
Na2S1,64.0,2.4,1.0,0
Na2Se1,71.0,2.0,1.0,0
Na2Te1,82.0,2.3,1.0,0
Na3Sb1,76.0,1.1,1.0,0
Nb1O2,741.0,0.25,1.0,0
Nb1Se2,746.0,1.4,1.0,0
Nb2O5,742.0,3.48,1.0,0
Nb2S3,745.0,0.12,1.0,0
Nd1As1,1116.0,1.04,1.0,0
Nd1B6,1110.0,4.9,1.0,0
Nd1F3,1114.0,6.15,1.0,0
Nd1Te2,1119.0,0.3,1.0,0
Nd2O3,1113.0,0.97,1.0,0
Nd2S3,1115.0,3.0,1.0,0
Nd2Se3,1117.0,1.7,1.0,1
Nd2Te3,1121.0,1.12,1.0,1
Nd2Te5,1118.0,0.29,1.0,1
Nd4Te7,1120.0,0.38,1.0,0
Ni1As2,389.0,0.05,1.0,0
Ni1O1,381.0,3.7,1.0,0
Ni1P2,385.0,0.5,1.0,0
Ni1S1,386.0,0.12,1.0,0
Ni1S2,387.0,0.5,1.0,0
NiTe,390.0,0.23,1.0,0
Os1As2,1231.0,0.9,1.0,0
Os1P2,1229.0,1.2,1.0,0
Os1S2,1230.0,2.0,1.0,0
Os1Sb2,1232.0,0.2,1.0,0
Os1Te2,1233.0,0.3,1.0,1
P,218.5,0.9650000000000001,1.0,0
P1As1,222.0,0.23,1.0,0
Pb1Br2,1367.0,3.2,1.0,0
Pb1Cl2,1352.0,3.82,1.0,0
Pb1I2,1385.0,2.32,1.0,0
Pb1N6,1320.0,3.02,1.0,0
Pb1O1,1323.0,2.512,1.0,0
Pb1O2,1326.5,1.85,1.0,1
Pb1S1,1342.0,0.41,1.0,1
Pb1Se1,1355.0,0.27,1.0,0
Pb1Te1,1371.0,0.31,1.0,0
Pb2O3,1325.0,1.67,1.0,0
Pb3O4,1328.0,2.12,1.0,0
Pd1O1,775.0,1.5,1.0,0
Pd1P2,777.0,0.65,1.0,0
Pd1S1,778.0,0.5,1.0,0
Pd1S2,779.0,0.75,1.0,0
Pd1Se1,780.0,0.2,1.0,0
Pd1Se2,781.0,0.4,1.0,0
Pd1Te2,782.0,1.8,1.0,0
Pr1As1,1103.0,1.0,1.0,0
Pr1B6,1096.0,4.9,1.0,0
Pr1F3,1101.0,5.9,1.0,0
Pr1O2,1097.0,0.66,1.0,0
Pr1Sb1,1106.0,0.66,1.0,0
Pr1Te2,1107.5,1.154,1.0,0
Pr2O3,1098.0,0.84,1.0,0
Pr2Se3,1104.0,1.8,1.0,0
Pr2Te3,1109.0,1.3,1.0,0
Pt1As2,1241.0,0.55,1.0,0
Pt1O2,1236.0,0.2,1.0,0
Pt1P2,1237.0,0.8,1.0,1
Pt1S1,1239.0,0.8,1.0,0
Pt1S2,1240.0,0.75,1.0,0
Pt1Sb2,1244.0,0.11,1.0,0
Pt1Se2,1243.0,0.1,1.0,0
Rb1Br1,699.0,7.2,1.0,0
Rb1Cl1,694.0,8.29,1.0,0
Rb1F1,693.0,10.4,1.0,0
Rb1I1,708.0,5.83,1.0,0
Rb2Te1,707.0,4.5,1.0,0
Rb3Sb1,703.0,1.0,1.0,0
Re1O3,1225.0,2.3,1.0,0
Re1S2,1227.0,1.1,1.0,0
Re1Se2,1228.0,0.99,1.0,0
Re1Si2,1226.0,0.12,1.0,0
Rh1S3,772.0,1.5,1.0,0
Rh1Se2,773.0,0.6,1.0,1
Rh1Se3,774.0,0.7,1.0,1
Rh2S3,771.0,0.8,1.0,0
Ru1As2,766.0,0.8,1.0,0
Ru1P2,764.0,1.0,1.0,0
Ru1S2,765.0,1.8,1.0,0
Ru1Sb2,768.0,0.3,1.0,0
Ru1Se2,767.0,1.0,1.0,0
Ru1Te2,769.0,0.25,1.0,0
S,223.0,3.82,1.0,0
Sb,1014.0,0.1,1.0,0
Sb0.605As0.395,1008.0,0.009,1.0,0
Sb1I3,1019.0,2.22,1.0,0
Sb1Si1,997.0,1.9,1.0,0
Sb2O3,994.0,3.31,1.0,0
Sb2S3,999.0,1.7,1.0,0
Sb2Se3,1010.0,1.2,1.0,1
Sb2Te3,1016.0,0.3,1.0,0
Sc1N1,279.0,2.6,1.0,0
Sc2O3,280.0,6.0,1.0,0
Sc2S3,284.0,2.0,1.0,0
Se,673.0,1.7266666666666666,1.0,0
Se1Te1,689.0,0.64,1.0,0
Se3Te1,690.0,1.87,1.0,0
SeS,671.0,1.9,1.0,0
Si,199.0,1.12,1.0,0
Si1As1,207.0,1.45,1.0,1
Si1C1,185.5,2.5300000000000002,1.0,0
Si1O2,195.0,11.0,1.0,0
Si1P2,206.0,1.89,1.0,0
Si1Se2,211.0,1.72,1.0,0
Si1Sn1,213.0,0.59,1.0,0
Si1Te2,215.5,2.015,1.0,0
Si2Te3,214.0,1.98,1.0,0
Si3N4,192.0,5.0,1.0,0
Sm1As1,1131.0,1.03,1.0,0
Sm1B6,1123.0,4.9,1.0,0
Sm1P1,1126.0,1.09,1.0,0
Sm1S1,1127.0,0.22,1.0,0
Sm1Sb1,1135.0,0.59,1.0,1
Sm1Se1,1132.0,0.46,1.0,0
Sm1Te1,1136.0,0.62,1.0,0
Sm2O3,1124.0,1.17,1.0,0
Sm2S3,1128.0,3.0,1.0,0
Sm2Se3,1133.0,2.3,1.0,0
Sn,984.0,0.075,1.0,0
Sn1Br2,982.0,3.4,1.0,0
Sn1Cl2,970.0,3.9,1.0,0
Sn1I2,993.0,2.4,1.0,0
Sn1I4,992.0,2.38,1.0,0
Sn1O2,948.5,3.5,1.0,0
Sn1S1,966.0,1.08,1.0,0
Sn1S2,964.5,2.4749999999999996,1.0,0
Sn1Se1,973.5,1.055,1.0,1
Sn1Se2,971.5,1.5,1.0,0
Sn1Te1,987.0,0.18,1.0,0
Sr1O1,716.0,5.77,1.0,0
Sr1S1,719.0,4.76,1.0,0
Sr1Se1,721.0,4.42,1.0,0
Sr1Te1,723.0,3.73,1.0,0
Ta1S2,1212.0,0.1,1.0,0
Ta2O5,1211.0,4.6,1.0,0
TaN,1210.0,2.3,1.0,0
Tb1O2,1169.0,0.5,1.0,0
Tb2O3,1170.0,0.95,1.0,0
Tb4O7,1171.0,0.4,1.0,0
Te,1023.0,0.332,1.0,0
Te1I1,1035.0,1.1,1.0,1
Te1O2,1022.0,3.0,1.0,0
Th1O2,1448.5,4.625,1.0,0
Ti1C0.9,285.0,0.3,1.0,0
Ti1O2,287.5,3.15,1.0,0
Ti1S2,295.0,1.24,1.0,0
Ti1S3,297.0,0.9,1.0,0
Ti1Se2,299.0,0.69,1.0,0
Ti1Te2,301.0,1.0,1.0,1
Ti2O3,286.0,0.04,1.0,1
Ti2S3,296.0,0.3,1.0,0
Tl1Br1,1309.0,3.05,1.0,0
Tl1Cl1,1298.0,3.56,1.0,0
Tl1I1,1318.0,2.67,1.0,1
Tl1N3,1291.0,3.58,1.0,0
Tl1S1,1294.0,1.36,1.0,1
Tl1Se1,1302.0,0.73,1.0,0
Tl2O3,1292.5,1.825,1.0,0
Tl2Te1,1314.0,0.5,1.0,0
Tl2Te3,1313.0,0.7,1.0,0
Tm1As1,1195.0,1.18,1.0,0
U1O2,1456.0,2.18,1.0,0
UO,1455.0,1.5,1.0,0
V1O1,302.0,0.3,1.0,1
V1O2,305.0,0.65,1.0,0
V2O3,303.0,0.1,1.0,0
V2O4,306.0,0.66,1.0,0
V2O5,304.0,2.34,1.0,0
V4O7,308.0,0.8,1.0,0
V5O9,307.0,0.15,1.0,1
W1O3,1213.0,2.8,1.0,0
W1S2,1216.0,1.1,1.0,0
W1Se2,1218.0,1.35,1.0,0
W1Te2,1223.0,0.05,1.0,0
Y1N1,725.0,1.9,1.0,0
Y2O3,726.0,5.6,1.0,0
Yb1As1,1200.0,1.02,1.0,0
Yb1Sb1,1201.0,1.0,1.0,0
Yb2O3,1196.0,2.99,1.0,0
YbS,1198.0,0.33,1.0,0
Zn1As2,441.0,0.9,1.0,0
Zn1I2,485.0,4.53,1.0,0
Zn1O1,424.0,3.35,1.0,0
Zn1P2,430.75,1.9275,1.0,0
Zn1S1,434.0,3.87,1.0,0
Zn1Sb1,453.5,0.745,1.0,0
Zn1Se1,447.0,2.67,1.0,1
Zn1Te1,472.0,2.25,1.0,1
Zn3As2,442.0,0.93,1.0,1
Zn3P2,432.0,1.15,1.0,0
Zn3Sb2,455.0,0.22,1.0,0
Zn4Sb3,456.0,1.2,1.0,0
Zr1O2,731.0,4.99,1.0,0
Zr1S2,734.5,2.215,1.0,1
Zr1S3,736.0,2.17,1.0,0
Zr1Se2,739.0,2.0,1.0,0
Zr1Se3,740.0,1.25,1.0,0
Zr3O1,730.0,0.2,1.0,0
Zr6O1,729.0,0.18,1.0,0
ZrC,728.0,0.6,1.0,0
